ID,Girls_max,Boys_max,Total
209-2092381,26,31,57
209-2092390,31,26,57
209-2092403,24,45,69
209-2092491,33,23,56
209-2092493,28,31,59
209-2092529,30,27,57
209-2092535,42,45,87
209-2092570,44,40,84
209-2092599,32,31,63
209-2092605,40,40,80
209-2092782,30,30,60
209-2092811,46,42,88
209-2092815,24,34,58
209-2092818,15,14,29
209-2092869,32,27,59
209-2092870,14,15,29
209-2092871,14,24,38
209-2092878,16,14,30
209-2092887,21,35,56
209-2092911,43,55,98
209-2093301,16,14,30
209-2093315,14,7,21
209-2093325,9,15,24
209-2093344,13,17,30
209-2093360,11,12,23
209-2093374,19,11,30
209-2093416,18,11,29
209-2093420,25,24,49
209-2093454,16,13,29
209-2093472,14,16,30
209-2093478,22,23,45
209-2093518,11,16,27
209-2093548,23,23,46
209-2093588,15,22,37
209-2093594,15,15,30
209-2093597,15,15,30
209-2093650,13,17,30
209-2093661,18,12,30
209-2094323,0,0,0
209-2094636,20,38,58
209-2095200,25,36,61
209-2095201,32,25,57
209-2096363,0,0,0
209-2096905,27,29,56
209-2096906,24,17,41
209-2096907,28,9,37
209-2097038,2,7,9
209-2097141,0,1,1
209-2097182,4,15,19
209-2097183,0,5,5
210-2102000,0,0,0
210-2102001,22,22,44
210-2102002,21,28,49
210-2102003,25,29,54
210-2102004,0,0,0
210-2102005,18,25,43
210-2102006,0,0,0
210-2102007,0,0,0
210-2102008,22,34,56
210-2102038,16,14,30
210-2102085,37,29,66
210-2102100,21,38,59
210-2102116,35,24,59
210-2102123,18,24,42
210-2102138,15,13,28
210-2102142,35,37,72
210-2102161,36,39,75
210-2102169,47,43,90
210-2102257,38,45,83
210-2102263,32,25,57
210-2102293,20,34,54
210-2102308,19,10,29
210-2102323,21,35,56
210-2102328,40,44,84
210-2102335,40,44,84
210-2102339,28,33,61
210-2102351,29,27,56
210-2102365,12,23,35
210-2102392,23,34,57
210-2102411,18,31,49
210-2102500,27,35,62
210-2102514,20,21,41
210-2102516,17,25,42
210-2102526,27,28,55
210-2102560,18,9,27
210-2102562,31,26,57
210-2102607,14,11,25
210-2102609,10,15,25
210-2102621,10,17,27
210-2102848,24,30,54
210-2102852,14,15,29
210-2102853,27,26,53
210-2102855,20,35,55
210-2102856,47,44,91
210-2102857,17,33,50
210-2102858,26,32,58
210-2103313,18,13,31
210-2103341,27,27,54
210-2103399,18,12,30
210-2103435,25,28,53
210-2103445,9,16,25
210-2103447,17,13,30
210-2103452,33,29,62
210-2103460,33,27,60
210-2103468,7,17,24
210-2103475,24,22,46
210-2103476,12,18,30
210-2103484,17,12,29
210-2103492,9,5,14
210-2103508,13,16,29
210-2103516,9,17,26
210-2103573,15,24,39
210-2103586,15,14,29
210-2103593,13,14,27
210-2103669,14,12,26
210-2103670,21,25,46
210-2105200,21,29,50
210-2105201,29,27,56
210-2105203,32,26,58
210-2105205,14,13,27
210-2105207,22,26,48
210-2105209,25,34,59
210-2106912,33,24,57
210-2107007,0,0,0
210-2107066,0,0,0
210-2107073,0,0,0
210-2107126,3,12,15
210-2107167,0,8,8
210-2107186,1,6,7
211-2111100,0,0,0
211-2112000,20,19,39
211-2112001,42,47,89
211-2112002,27,26,53
211-2112003,18,29,47
211-2112004,28,32,60
211-2112005,42,31,73
211-2112006,15,32,47
211-2112008,23,32,55
211-2112009,12,8,20
211-2112043,52,37,89
211-2112056,61,58,119
211-2112059,26,34,60
211-2112091,17,17,34
211-2112097,41,42,83
211-2112099,47,42,89
211-2112110,24,20,44
211-2112118,36,21,57
211-2112144,35,54,89
211-2112145,45,44,89
211-2112147,21,39,60
211-2112159,25,35,60
211-2112254,22,25,47
211-2112270,15,15,30
211-2112281,20,23,43
211-2112341,30,25,55
211-2112377,32,27,59
211-2112397,29,28,57
211-2112402,45,45,90
211-2112406,21,29,50
211-2112432,12,12,24
211-2112446,15,15,30
211-2112499,29,29,58
211-2112533,45,42,87
211-2112557,19,26,45
211-2112568,26,34,60
211-2112569,23,27,50
211-2112623,12,15,27
211-2112631,28,30,58
211-2112658,12,17,29
211-2112828,30,28,58
211-2112857,12,18,30
211-2112908,23,23,46
211-2112909,14,13,27
211-2112910,20,21,41
211-2112912,28,21,49
211-2112916,18,12,30
211-2112917,35,24,59
211-2112918,13,13,26
211-2112919,30,26,56
211-2112920,14,15,29
211-2112921,9,10,19
211-2112922,47,41,88
211-2112999,30,28,58
211-2113332,15,7,22
211-2113346,15,12,27
211-2113350,10,19,29
211-2113397,16,14,30
211-2113411,14,22,36
211-2113431,9,18,27
211-2113462,17,11,28
211-2113497,22,34,56
211-2113540,12,14,26
211-2113563,11,17,28
211-2113574,19,11,30
211-2113581,13,12,25
211-2113592,19,11,30
211-2113619,10,17,27
211-2114277,0,0,0
211-2116003,0,0,0
211-2117084,0,0,0
211-2117095,3,14,17
211-2117169,3,4,7
211-2117170,0,7,7
212-2121102,0,0,0
212-2121103,0,0,0
212-2122000,27,32,59
212-2122001,10,13,23
212-2122002,28,25,53
212-2122003,0,0,0
212-2122004,14,18,32
212-2122005,38,24,62
212-2122006,0,0,0
212-2122007,15,11,26
212-2122009,22,17,39
212-2122010,17,17,34
212-2122011,25,25,50
212-2122034,23,25,48
212-2122040,60,60,120
212-2122064,26,24,50
212-2122067,23,28,51
212-2122107,28,32,60
212-2122180,28,46,74
212-2122211,18,17,35
212-2122217,27,20,47
212-2122231,21,23,44
212-2122237,29,29,58
212-2122301,16,16,32
212-2122314,23,31,54
212-2122334,9,15,24
212-2122467,40,38,78
212-2122495,23,34,57
212-2122511,20,27,47
212-2122541,23,30,53
212-2122545,21,24,45
212-2122558,21,25,46
212-2122584,33,32,65
212-2122633,18,27,45
212-2122774,10,19,29
212-2122780,27,30,57
212-2122781,36,23,59
212-2122786,22,24,46
212-2122807,14,17,31
212-2122877,16,13,29
212-2123304,15,15,30
212-2123320,13,9,22
212-2123376,13,18,31
212-2123387,16,15,31
212-2123390,17,13,30
212-2123408,11,8,19
212-2123422,21,25,46
212-2123434,7,14,21
212-2123444,12,18,30
212-2123486,15,13,28
212-2123524,14,16,30
212-2123525,11,14,25
212-2123528,19,7,26
212-2123550,29,31,60
212-2123629,31,28,59
212-2123636,13,17,30
212-2123644,11,15,26
212-2123645,26,36,62
212-2125201,38,42,80
212-2125202,14,18,32
212-2125204,43,47,90
212-2125205,16,14,30
212-2126383,0,0,0
212-2126409,0,0,0
212-2127000,0,2,2
212-2127067,1,1,2
212-2127068,0,0,0
212-2127077,0,2,2
212-2127123,5,4,9
212-2127183,3,19,22
213-2131101,0,1,1
213-2132000,29,30,59
213-2132001,7,14,21
213-2132002,18,10,28
213-2132003,17,12,29
213-2132004,12,12,24
213-2132005,18,18,36
213-2132032,20,37,57
213-2132189,23,32,55
213-2132208,26,30,56
213-2132244,46,46,92
213-2132418,26,26,52
213-2132778,32,27,59
213-2132799,24,42,66
213-2132844,19,23,42
213-2133306,10,17,27
213-2133316,17,9,26
213-2133351,16,9,25
213-2133381,18,16,34
213-2133414,19,11,30
213-2133418,6,7,13
213-2133424,13,14,27
213-2133432,23,28,51
213-2133440,14,16,30
213-2133446,12,18,30
213-2133451,12,14,26
213-2133453,14,6,20
213-2133473,25,11,36
213-2133496,13,12,25
213-2133511,8,16,24
213-2133520,10,15,25
213-2133532,16,27,43
213-2133539,14,12,26
213-2133580,13,15,28
213-2133582,23,17,40
213-2133590,13,15,28
213-2133598,17,10,27
213-2133610,18,13,31
213-2133611,18,12,30
213-2133623,11,19,30
213-2133653,15,16,31
213-2136327,0,0,0
213-2136907,22,37,59
213-2137042,0,8,8
213-2137184,5,5,10
301-3011100,0,0,0
301-3012002,53,56,109
301-3012003,53,62,115
301-3012006,50,61,111
301-3012009,66,83,149
301-3012010,39,53,92
301-3012013,59,55,114
301-3012015,59,78,137
301-3012019,0,0,0
301-3012024,38,44,82
301-3012026,61,58,119
301-3012033,64,53,117
301-3012043,29,26,55
301-3012047,60,48,108
301-3012052,34,24,58
301-3012055,70,65,135
301-3012056,26,30,56
301-3012059,87,90,177
301-3012061,36,49,85
301-3012063,76,68,144
301-3012064,38,49,87
301-3012065,29,33,62
301-3012066,29,30,59
301-3012067,80,87,167
301-3012068,30,29,59
301-3012069,41,51,92
301-3012070,43,37,80
301-3012071,65,55,120
301-3012072,38,50,88
301-3012073,36,45,81
301-3012074,46,45,91
301-3012075,70,73,143
301-3013300,28,26,54
301-3013301,49,35,84
301-3013500,26,18,44
301-3013502,26,21,47
301-3013503,31,27,58
301-3013505,13,14,27
301-3013506,11,19,30
301-3013507,48,39,87
301-3014003,0,0,0
301-3014023,0,0,0
301-3014024,0,0,0
301-3014028,13,16,29
301-3017001,3,6,9
301-3017005,7,16,23
302-3021100,0,0,0
302-3022001,10,17,27
302-3022002,29,32,61
302-3022003,21,38,59
302-3022004,11,13,24
302-3022007,51,38,89
302-3022009,24,35,59
302-3022010,26,19,45
302-3022011,12,18,30
302-3022014,42,47,89
302-3022015,10,20,30
302-3022016,16,15,31
302-3022017,26,33,59
302-3022018,45,45,90
302-3022020,12,18,30
302-3022023,48,39,87
302-3022024,15,16,31
302-3022025,20,25,45
302-3022026,49,40,89
302-3022027,46,41,87
302-3022029,28,32,60
302-3022031,12,17,29
302-3022032,30,30,60
302-3022036,27,30,57
302-3022037,15,15,30
302-3022038,32,28,60
302-3022041,11,18,29
302-3022042,12,18,30
302-3022043,56,61,117
302-3022045,31,29,60
302-3022047,26,33,59
302-3022048,0,0,0
302-3022049,0,0,0
302-3022050,0,0,0
302-3022051,34,38,72
302-3022054,16,14,30
302-3022055,10,19,29
302-3022057,34,51,85
302-3022060,26,32,58
302-3022067,15,15,30
302-3022070,21,9,30
302-3022072,45,34,79
302-3022073,41,48,89
302-3022076,23,31,54
302-3022077,53,65,118
302-3022078,0,49,49
302-3022079,58,0,58
302-3023300,15,15,30
302-3023302,15,15,30
302-3023304,27,29,56
302-3023305,13,8,21
302-3023307,19,10,29
302-3023309,16,14,30
302-3023311,30,30,60
302-3023312,17,15,32
302-3023313,16,14,30
302-3023314,17,14,31
302-3023315,12,18,30
302-3023316,12,18,30
302-3023317,24,35,59
302-3023501,13,17,30
302-3023502,21,21,42
302-3023504,24,36,60
302-3023506,35,24,59
302-3023507,14,16,30
302-3023509,34,29,63
302-3023510,27,33,60
302-3023511,23,32,55
302-3023512,22,32,54
302-3023513,26,27,53
302-3023514,25,24,49
302-3023515,12,18,30
302-3023516,14,16,30
302-3023518,29,29,58
302-3023519,45,50,95
302-3023520,24,35,59
302-3023521,42,46,88
302-3023522,22,30,52
302-3023523,46,43,89
302-3023524,10,20,30
302-3025200,44,40,84
302-3025201,29,24,53
302-3025948,16,13,29
302-3025949,22,38,60
302-3025950,0,0,0
302-3026081,0,0,0
302-3026104,0,0,0
302-3026114,0,0,0
302-3026115,0,0,0
302-3026119,0,0,0
302-3026905,0,0,0
302-3026906,0,0,0
302-3027005,4,6,10
302-3027009,4,11,15
303-3031102,0,0,0
303-3032000,28,25,53
303-3032001,28,25,53
303-3032002,49,37,86
303-3032003,15,17,32
303-3032005,46,39,85
303-3032006,32,25,57
303-3032007,28,28,56
303-3032008,32,27,59
303-3032009,25,36,61
303-3032012,38,21,59
303-3032016,32,31,63
303-3032019,10,20,30
303-3032020,32,26,58
303-3032021,39,45,84
303-3032022,35,27,62
303-3032023,17,11,28
303-3032029,38,18,56
303-3032031,63,55,118
303-3032033,34,26,60
303-3032041,18,11,29
303-3032042,27,32,59
303-3032044,31,27,58
303-3032046,51,39,90
303-3032048,43,40,83
303-3032049,18,20,38
303-3032056,31,25,56
303-3032058,29,32,61
303-3032059,14,16,30
303-3032062,42,45,87
303-3032063,25,33,58
303-3032064,31,30,61
303-3032065,16,12,28
303-3032067,24,27,51
303-3032068,27,28,55
303-3032069,10,19,29
303-3032071,23,37,60
303-3032080,40,49,89
303-3032081,51,38,89
303-3032083,11,21,32
303-3033001,26,34,60
303-3033008,50,40,90
303-3033301,17,29,46
303-3033302,13,17,30
303-3033500,27,33,60
303-3033501,26,30,56
303-3033502,18,10,28
303-3033503,25,39,64
303-3033504,36,24,60
303-3033505,15,15,30
303-3033506,12,11,23
303-3033510,24,34,58
303-3034003,29,44,73
303-3035201,27,33,60
303-3035202,16,14,30
303-3036053,0,0,0
303-3036060,0,0,0
303-3036907,34,25,59
303-3037000,1,11,12
303-3037001,6,5,11
303-3037003,4,7,11
304-3041110,0,0,0
304-3042000,24,27,51
304-3042003,40,43,83
304-3042006,46,42,88
304-3042017,31,35,66
304-3042018,46,43,89
304-3042020,28,32,60
304-3042021,36,46,82
304-3042022,42,47,89
304-3042024,36,54,90
304-3042028,71,73,144
304-3042029,36,24,60
304-3042031,66,50,116
304-3042034,19,11,30
304-3042035,0,0,0
304-3042038,26,33,59
304-3042039,51,38,89
304-3042040,0,0,0
304-3042041,55,62,117
304-3042042,20,25,45
304-3042049,62,58,120
304-3042053,32,28,60
304-3042055,38,21,59
304-3042056,14,15,29
304-3042057,27,28,55
304-3042064,20,28,48
304-3042066,35,52,87
304-3042067,32,26,58
304-3042068,26,32,58
304-3042070,51,32,83
304-3042071,31,29,60
304-3042073,24,31,55
304-3042074,55,63,118
304-3042075,46,44,90
304-3042076,64,56,120
304-3043301,15,13,28
304-3043302,32,25,57
304-3043303,26,34,60
304-3043308,17,18,35
304-3043500,27,33,60
304-3043501,32,38,70
304-3043505,44,42,86
304-3043506,25,28,53
304-3043508,15,15,30
304-3043511,18,12,30
304-3043601,50,40,90
304-3043602,16,22,38
304-3043603,0,25,25
304-3043605,59,61,120
304-3045200,56,41,97
304-3045201,16,19,35
304-3045202,23,35,58
304-3045203,32,25,57
304-3045204,20,30,50
304-3045410,35,26,61
304-3045949,33,27,60
304-3046004,0,0,0
304-3046072,0,0,0
304-3046079,0,0,0
304-3046112,0,0,0
304-3046906,26,33,59
304-3047005,2,5,7
304-3047006,9,18,27
304-3047009,9,14,23
305-3052000,29,35,64
305-3052002,42,54,96
305-3052003,11,19,30
305-3052004,27,36,63
305-3052006,0,0,0
305-3052008,44,44,88
305-3052009,33,31,64
305-3052010,35,55,90
305-3052011,30,29,59
305-3052012,43,21,64
305-3052014,27,31,58
305-3052016,28,31,59
305-3052018,56,69,125
305-3052022,27,32,59
305-3052023,27,28,55
305-3052024,34,23,57
305-3052026,45,55,100
305-3052027,12,20,32
305-3052028,29,26,55
305-3052029,11,16,27
305-3052031,0,0,0
305-3052034,10,6,16
305-3052035,0,0,0
305-3052036,17,11,28
305-3052039,52,44,96
305-3052041,4,6,10
305-3052042,17,13,30
305-3052046,6,3,9
305-3052053,16,16,32
305-3052056,55,66,121
305-3052057,15,17,32
305-3052059,24,40,64
305-3052062,26,30,56
305-3052064,15,17,32
305-3052066,32,31,63
305-3052067,30,27,57
305-3052068,0,0,0
305-3052069,12,15,27
305-3052070,33,27,60
305-3052071,37,43,80
305-3052072,25,43,68
305-3052074,35,28,63
305-3052075,29,36,65
305-3052079,30,34,64
305-3052080,13,19,32
305-3052082,34,25,59
305-3052084,17,13,30
305-3053000,13,18,31
305-3053001,47,41,88
305-3053002,25,22,47
305-3053003,30,36,66
305-3053004,9,5,14
305-3053005,20,12,32
305-3053300,24,35,59
305-3053301,18,14,32
305-3053500,13,16,29
305-3053501,13,20,33
305-3053503,12,19,31
305-3053504,11,14,25
305-3053505,17,14,31
305-3053507,13,20,33
305-3053508,18,12,30
305-3053510,39,24,63
305-3055200,89,89,178
305-3055201,25,8,33
305-3055202,41,21,62
305-3055204,46,50,96
305-3055205,47,49,96
305-3055206,31,32,63
305-3055207,47,50,97
305-3056004,0,0,0
305-3056066,0,0,0
305-3056079,0,0,0
305-3057000,0,1,1
305-3057001,0,4,4
305-3057005,4,0,4
305-3057012,3,18,21
306-3061100,0,1,1
306-3062003,45,45,90
306-3062004,35,24,59
